"date","geoid","county","state","cases","cases_avg","cases_avg_per_100k","deaths","deaths_avg","deaths_avg_per_100k"
2020-03-06,"USA-27123","Ramsey","Minnesota",1,0.14,0.03,0,0,0
2020-03-07,"USA-27123","Ramsey","Minnesota",0,0.14,0.03,0,0,0
2020-03-08,"USA-27123","Ramsey","Minnesota",0,0.14,0.03,0,0,0
2020-03-08,"USA-27019","Carver","Minnesota",1,0.14,0.14,0,0,0
2020-03-09,"USA-27123","Ramsey","Minnesota",0,0.14,0.03,0,0,0
2020-03-09,"USA-27019","Carver","Minnesota",0,0.14,0.14,0,0,0
2020-03-10,"USA-27123","Ramsey","Minnesota",0,0.14,0.03,0,0,0
2020-03-10,"USA-27019","Carver","Minnesota",0,0.14,0.14,0,0,0
2020-03-10,"USA-27003","Anoka","Minnesota",1,0.14,0.04,0,0,0
2020-03-11,"USA-27123","Ramsey","Minnesota",1,0.29,0.05,0,0,0
2020-03-11,"USA-27109","Olmsted","Minnesota",1,0.14,0.09,0,0,0
2020-03-11,"USA-27019","Carver","Minnesota",0,0.14,0.14,0,0,0
2020-03-11,"USA-27003","Anoka","Minnesota",0,0.14,0.04,0,0,0
2020-03-12,"USA-27145","Stearns","Minnesota",2,0.29,0.18,0,0,0
2020-03-12,"USA-27123","Ramsey","Minnesota",0,0.29,0.05,0,0,0
2020-03-12,"USA-27109","Olmsted","Minnesota",0,0.14,0.09,0,0,0
2020-03-12,"USA-27053","Hennepin","Minnesota",1,0.14,0.01,0,0,0
2020-03-12,"USA-27037","Dakota","Minnesota",1,0.14,0.03,0,0,0
2020-03-12,"USA-27019","Carver","Minnesota",0,0.14,0.14,0,0,0
2020-03-12,"USA-27003","Anoka","Minnesota",0,0.14,0.04,0,0,0
2020-03-13,"USA-27171","Wright","Minnesota",1,0.14,0.1,0,0,0
2020-03-13,"USA-27145","Stearns","Minnesota",0,0.29,0.18,0,0,0
2020-03-13,"USA-27123","Ramsey","Minnesota",1,0.29,0.05,0,0,0
2020-03-13,"USA-27109","Olmsted","Minnesota",0,0.14,0.09,0,0,0
2020-03-13,"USA-27053","Hennepin","Minnesota",2,0.43,0.03,0,0,0
2020-03-13,"USA-27037","Dakota","Minnesota",1,0.29,0.07,0,0,0
2020-03-13,"USA-27019","Carver","Minnesota",0,0.14,0.14,0,0,0
2020-03-13,"USA-27003","Anoka","Minnesota",0,0.14,0.04,0,0,0
2020-03-14,"USA-27171","Wright","Minnesota",0,0.14,0.1,0,0,0
2020-03-14,"USA-27145","Stearns","Minnesota",1,0.43,0.27,0,0,0
2020-03-14,"USA-27129","Renville","Minnesota",1,0.14,0.98,0,0,0
2020-03-14,"USA-27123","Ramsey","Minnesota",1,0.38,0.07,0,0,0
2020-03-14,"USA-27109","Olmsted","Minnesota",0,0.14,0.09,0,0,0
2020-03-14,"USA-27053","Hennepin","Minnesota",3,0.86,0.07,0,0,0
2020-03-14,"USA-27037","Dakota","Minnesota",0,0.29,0.07,0,0,0
2020-03-14,"USA-27019","Carver","Minnesota",0,0.14,0.14,0,0,0
2020-03-14,"USA-27003","Anoka","Minnesota",1,0.29,0.08,0,0,0
2020-03-15,"USA-27171","Wright","Minnesota",0,0.14,0.1,0,0,0
2020-03-15,"USA-27163","Washington","Minnesota",1,0.14,0.05,0,0,0
2020-03-15,"USA-27161","Waseca","Minnesota",1,0.14,0.77,0,0,0
2020-03-15,"USA-27145","Stearns","Minnesota",0,0.43,0.27,0,0,0
2020-03-15,"USA-27129","Renville","Minnesota",0,0.14,0.98,0,0,0
2020-03-15,"USA-27123","Ramsey","Minnesota",4,0.78,0.14,0,0,0
2020-03-15,"USA-27109","Olmsted","Minnesota",1,0.29,0.18,0,0,0
2020-03-15,"USA-27053","Hennepin","Minnesota",6,1.71,0.14,0,0,0
2020-03-15,"USA-27037","Dakota","Minnesota",1,0.43,0.1,0,0,0
2020-03-15,"USA-27019","Carver","Minnesota",0,0,0,0,0,0
2020-03-15,"USA-27003","Anoka","Minnesota",0,0.29,0.08,0,0,0
2020-03-16,"USA-27171","Wright","Minnesota",0,0.14,0.1,0,0,0
2020-03-16,"USA-27163","Washington","Minnesota",0,0.14,0.05,0,0,0
2020-03-16,"USA-27161","Waseca","Minnesota",0,0.14,0.77,0,0,0
2020-03-16,"USA-27145","Stearns","Minnesota",0,0.43,0.27,0,0,0
2020-03-16,"USA-27129","Renville","Minnesota",0,0.14,0.98,0,0,0
2020-03-16,"USA-27123","Ramsey","Minnesota",0,0.78,0.14,0,0,0
2020-03-16,"USA-27109","Olmsted","Minnesota",1,0.43,0.27,0,0,0
2020-03-16,"USA-27053","Hennepin","Minnesota",14,3.71,0.29,0,0,0
2020-03-16,"USA-27037","Dakota","Minnesota",1,0.57,0.13,0,0,0
2020-03-16,"USA-27019","Carver","Minnesota",0,0,0,0,0,0
2020-03-16,"USA-27013","Blue Earth","Minnesota",1,0.14,0.21,0,0,0
2020-03-16,"USA-27009","Benton","Minnesota",1,0.14,0.35,0,0,0
2020-03-16,"USA-27003","Anoka","Minnesota",1,0.43,0.12,0,0,0
2020-03-17,"USA-27171","Wright","Minnesota",0,0.14,0.1,0,0,0
2020-03-17,"USA-27163","Washington","Minnesota",0,0.14,0.05,0,0,0
2020-03-17,"USA-27161","Waseca","Minnesota",0,0.14,0.77,0,0,0
2020-03-17,"USA-27145","Stearns","Minnesota",0,0.43,0.27,0,0,0
2020-03-17,"USA-27129","Renville","Minnesota",0,0.14,0.98,0,0,0
2020-03-17,"USA-27123","Ramsey","Minnesota",0,0.78,0.14,0,0,0
2020-03-17,"USA-27109","Olmsted","Minnesota",0,0.43,0.27,0,0,0
2020-03-17,"USA-27103","Nicollet","Minnesota",1,0.14,0.42,0,0,0
2020-03-17,"USA-27091","Martin","Minnesota",2,0.29,1.45,0,0,0
2020-03-17,"USA-27053","Hennepin","Minnesota",0,3.71,0.29,0,0,0
2020-03-17,"USA-27037","Dakota","Minnesota",3,1,0.23,0,0,0
2020-03-17,"USA-27019","Carver","Minnesota",0,0,0,0,0,0
2020-03-17,"USA-27013","Blue Earth","Minnesota",0,0.14,0.21,0,0,0
2020-03-17,"USA-27009","Benton","Minnesota",0,0.14,0.35,0,0,0
2020-03-17,"USA-27003","Anoka","Minnesota",0,0.43,0.12,0,0,0
2020-03-18,"USA-27171","Wright","Minnesota",0,0.14,0.1,0,0,0
2020-03-18,"USA-27163","Washington","Minnesota",2,0.43,0.16,0,0,0
2020-03-18,"USA-27161","Waseca","Minnesota",0,0.14,0.77,0,0,0
2020-03-18,"USA-27145","Stearns","Minnesota",0,0.43,0.27,0,0,0
2020-03-18,"USA-27131","Rice","Minnesota",1,0.14,0.21,0,0,0
2020-03-18,"USA-27129","Renville","Minnesota",0,0.14,0.98,0,0,0
2020-03-18,"USA-27123","Ramsey","Minnesota",0,0.78,0.14,0,0,0
2020-03-18,"USA-27109","Olmsted","Minnesota",3,0.71,0.45,0,0,0
2020-03-18,"USA-27103","Nicollet","Minnesota",1,0.29,0.83,0,0,0
2020-03-18,"USA-27091","Martin","Minnesota",1,0.43,2.18,0,0,0
2020-03-18,"USA-27053","Hennepin","Minnesota",7,4.71,0.37,0,0,0
2020-03-18,"USA-27037","Dakota","Minnesota",0,1,0.23,0,0,0
2020-03-18,"USA-27019","Carver","Minnesota",1,0.14,0.14,0,0,0
2020-03-18,"USA-27013","Blue Earth","Minnesota",1,0.29,0.42,0,0,0
2020-03-18,"USA-27009","Benton","Minnesota",0,0.14,0.35,0,0,0
2020-03-18,"USA-27003","Anoka","Minnesota",0,0.43,0.12,0,0,0
2020-03-19,"USA-27171","Wright","Minnesota",1,0.29,0.21,0,0,0
2020-03-19,"USA-27163","Washington","Minnesota",0,0.43,0.16,0,0,0
2020-03-19,"USA-27161","Waseca","Minnesota",1,0.29,1.54,0,0,0
2020-03-19,"USA-27145","Stearns","Minnesota",1,0.29,0.18,0,0,0
2020-03-19,"USA-27139","Scott","Minnesota",1,0.14,0.1,0,0,0
2020-03-19,"USA-27131","Rice","Minnesota",0,0.14,0.21,0,0,0
2020-03-19,"USA-27129","Renville","Minnesota",0,0.14,0.98,0,0,0
2020-03-19,"USA-27123","Ramsey","Minnesota",4,1.25,0.23,0,0,0
2020-03-19,"USA-27109","Olmsted","Minnesota",0,0.71,0.45,0,0,0
2020-03-19,"USA-27103","Nicollet","Minnesota",0,0.29,0.83,0,0,0
2020-03-19,"USA-27099","Mower","Minnesota",1,0.14,0.36,0,0,0
2020-03-19,"USA-27091","Martin","Minnesota",0,0.43,2.18,0,0,0
2020-03-19,"USA-27053","Hennepin","Minnesota",0,4.71,0.37,0,0,0
2020-03-19,"USA-27037","Dakota","Minnesota",0,1,0.23,0,0,0
2020-03-19,"USA-27019","Carver","Minnesota",1,0.29,0.27,0,0,0
2020-03-19,"USA-27013","Blue Earth","Minnesota",0,0.29,0.42,0,0,0
2020-03-19,"USA-27009","Benton","Minnesota",0,0.14,0.35,0,0,0
2020-03-19,"USA-27003","Anoka","Minnesota",2,0.44,0.12,0,0,0
2020-03-20,"USA-27171","Wright","Minnesota",0,0.29,0.21,0,0,0
2020-03-20,"USA-27163","Washington","Minnesota",0,0.43,0.16,0,0,0
2020-03-20,"USA-27161","Waseca","Minnesota",0,0.29,1.54,0,0,0
2020-03-20,"USA-27145","Stearns","Minnesota",0,0.29,0.18,0,0,0
2020-03-20,"USA-27139","Scott","Minnesota",1,0.29,0.19,0,0,0
2020-03-20,"USA-27131","Rice","Minnesota",0,0.14,0.21,0,0,0
2020-03-20,"USA-27129","Renville","Minnesota",0,0.14,0.98,0,0,0
2020-03-20,"USA-27123","Ramsey","Minnesota",4,1.86,0.34,0,0,0
2020-03-20,"USA-27109","Olmsted","Minnesota",5,1.11,0.7,0,0,0
2020-03-20,"USA-27103","Nicollet","Minnesota",0,0.29,0.83,0,0,0
2020-03-20,"USA-27099","Mower","Minnesota",0,0.14,0.36,0,0,0
2020-03-20,"USA-27091","Martin","Minnesota",1,0.57,2.9,0,0,0
2020-03-20,"USA-27053","Hennepin","Minnesota",11,5.86,0.46,0,0,0
2020-03-20,"USA-27045","Fillmore","Minnesota",2,0.29,1.36,0,0,0
2020-03-20,"USA-27037","Dakota","Minnesota",0,1,0.23,0,0,0
2020-03-20,"USA-27027","Clay","Minnesota",1,0.14,0.22,0,0,0
2020-03-20,"USA-27025","Chisago","Minnesota",1,0.14,0.25,0,0,0
2020-03-20,"USA-27019","Carver","Minnesota",0,0.29,0.27,0,0,0
2020-03-20,"USA-27013","Blue Earth","Minnesota",0,0.29,0.42,0,0,0
2020-03-20,"USA-27009","Benton","Minnesota",0,0.14,0.35,0,0,0
2020-03-20,"USA-27003","Anoka","Minnesota",0,0.44,0.12,0,0,0
2020-03-21,"USA-27999","Unknown","Minnesota",1,0.14,0,0,0,0
2020-03-21,"USA-27171","Wright","Minnesota",1,0.25,0.18,0,0,0
2020-03-21,"USA-27163","Washington","Minnesota",1,0.57,0.22,0,0,0
2020-03-21,"USA-27161","Waseca","Minnesota",0,0.29,1.54,0,0,0
2020-03-21,"USA-27157","Wabasha","Minnesota",1,0.14,0.66,0,0,0
2020-03-21,"USA-27147","Steele","Minnesota",2,0.29,0.78,0,0,0
2020-03-21,"USA-27145","Stearns","Minnesota",0,0.29,0.18,0,0,0
2020-03-21,"USA-27137","St. Louis","Minnesota",1,0.14,0.07,0,0,0
2020-03-21,"USA-27139","Scott","Minnesota",0,0.29,0.19,0,0,0
2020-03-21,"USA-27131","Rice","Minnesota",0,0.14,0.21,0,0,0
2020-03-21,"USA-27129","Renville","Minnesota",0,0,0,0,0,0
2020-03-21,"USA-27123","Ramsey","Minnesota",1,1.86,0.34,1,0.14,0.03
2020-03-21,"USA-27109","Olmsted","Minnesota",1,1.1,0.69,0,0,0
2020-03-21,"USA-27103","Nicollet","Minnesota",0,0.29,0.83,0,0,0
2020-03-21,"USA-27099","Mower","Minnesota",2,0.43,1.07,0,0,0
2020-03-21,"USA-27091","Martin","Minnesota",1,0.71,3.63,0,0,0
2020-03-21,"USA-27063","Jackson","Minnesota",1,0.14,1.45,0,0,0
2020-03-21,"USA-27053","Hennepin","Minnesota",8,6.57,0.52,0,0,0
2020-03-21,"USA-27045","Fillmore","Minnesota",0,0.29,1.36,0,0,0
2020-03-21,"USA-27039","Dodge","Minnesota",1,0.14,0.68,0,0,0
2020-03-21,"USA-27037","Dakota","Minnesota",0,1,0.23,0,0,0
2020-03-21,"USA-27027","Clay","Minnesota",0,0.14,0.22,0,0,0
2020-03-21,"USA-27025","Chisago","Minnesota",0,0.14,0.25,0,0,0
2020-03-21,"USA-27019","Carver","Minnesota",0,0.29,0.27,0,0,0
2020-03-21,"USA-27013","Blue Earth","Minnesota",1,0.43,0.63,0,0,0
2020-03-21,"USA-27009","Benton","Minnesota",0,0.14,0.35,0,0,0
2020-03-21,"USA-27003","Anoka","Minnesota",0,0.44,0.12,0,0,0
2020-03-22,"USA-27999","Unknown","Minnesota",0,0.14,0,0,0,0
2020-03-22,"USA-27171","Wright","Minnesota",0,0.25,0.18,0,0,0
2020-03-22,"USA-27163","Washington","Minnesota",3,0.86,0.33,0,0,0
2020-03-22,"USA-27161","Waseca","Minnesota",0,0.29,1.54,0,0,0
2020-03-22,"USA-27157","Wabasha","Minnesota",0,0.14,0.66,0,0,0
2020-03-22,"USA-27147","Steele","Minnesota",1,0.43,1.17,0,0,0
2020-03-22,"USA-27145","Stearns","Minnesota",0,0.29,0.18,0,0,0
2020-03-22,"USA-27137","St. Louis","Minnesota",0,0.14,0.07,0,0,0
2020-03-22,"USA-27139","Scott","Minnesota",1,0.43,0.29,0,0,0
2020-03-22,"USA-27131","Rice","Minnesota",0,0.14,0.21,0,0,0
2020-03-22,"USA-27129","Renville","Minnesota",0,0,0,0,0,0
2020-03-22,"USA-27123","Ramsey","Minnesota",1,1.43,0.26,0,0.14,0.03
2020-03-22,"USA-27109","Olmsted","Minnesota",2,1.71,1.08,0,0,0
2020-03-22,"USA-27103","Nicollet","Minnesota",1,0.43,1.25,0,0,0
2020-03-22,"USA-27099","Mower","Minnesota",3,0.86,2.14,0,0,0
2020-03-22,"USA-27091","Martin","Minnesota",3,1.14,5.81,0,0,0
2020-03-22,"USA-27079","Le Sueur","Minnesota",1,0.14,0.49,0,0,0
2020-03-22,"USA-27063","Jackson","Minnesota",0,0.14,1.45,0,0,0
2020-03-22,"USA-27053","Hennepin","Minnesota",5,6.43,0.51,0,0,0
2020-03-22,"USA-27045","Fillmore","Minnesota",0,0.29,1.36,0,0,0
2020-03-22,"USA-27039","Dodge","Minnesota",1,0.29,1.36,0,0,0
2020-03-22,"USA-27037","Dakota","Minnesota",4,1.14,0.27,0,0,0
2020-03-22,"USA-27027","Clay","Minnesota",1,0.29,0.44,0,0,0
2020-03-22,"USA-27025","Chisago","Minnesota",0,0.14,0.25,0,0,0
2020-03-22,"USA-27019","Carver","Minnesota",5,1,0.95,0,0,0
